Tipo de centro de salud;Provincia;Canton;Parroquia;Distrito;Circuito;Centro de salud;Numero de Centros de Salud;Numero de Tipos de Centros;Latitud;Longitud
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CUENCA_SAN SEBASTIAN;EL CEBOLLAR;1;1;-2.882254;-79.018251
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CUENCA_SAN SEBASTIAN;SAN PEDRO DEL CEBOLLAR;1;1;-2.872238;-79.034967
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CUENCA_SAN SEBASTIAN;SAYAUSI;1;1;-2.879606;-79.066214
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CUENCA_SAN SEBASTIAN;VIRGEN DEL MILAGRO;1;1;-2.886845;-79.037667
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CUENCA_YANUNCAY;CENTRO N. 4 CARLOS ELIZALDE;1;1;-2.920229;-79.043967
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CUENCA_BELLAVISTA;CENTRO N. 2 JOSE MARIA ASTUDILLO REGALADO;1;1;-2.89275;-79.001965
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CUENCA_CANIARIBAMBA;EL PARAISO;1;1;-2.907047;-78.987812
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CUENCA_CANIARIBAMBA;CENTRO DE SALUD NO 1;1;1;-2.907413;-78.995833
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CUENCA_EL VECINO;BARRIAL BLANCO;1;1;-2.879732;-78.987545
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CUENCA_GIL RAMIREZ DAVALOS;C.A.A. CENTRAL CUENCA;1;1;-2.897308;-79.002523
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CUENCA_HERMANO MIGUEL;UNCOVIA;1;1;-2.871402;-78.980888
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CUENCA_MACHANGARA;MACHANGARA;1;1;-2.881908;-78.965798
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CUENCA_TOTOROCOHA;TERMINAL TERRESTRE;1;1;-2.892952;-78.993304
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CUENCA_TOTOROCOHA;TOTORACOCHA;1;1;-2.894136;-78.977862
CENTRO DE SALUD;AZUAY;CUENCA;CUMBE;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CUMBE-VICTORIA DEL PORTETE (IRQUIS);CUMBE;1;1;-3.085678;-79.011023
CENTRO DE SALUD;AZUAY;CUENCA;LLACAO;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;RICAURTE-LLACAO;LLACAO;1;1;-2.840294;-78.942393
CENTRO DE SALUD;AZUAY;CUENCA;MOLLETURO;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;MOLLETURO;MOLLETURO;1;1;-2.766987;-79.396843
CENTRO DE SALUD;AZUAY;CUENCA;NULTI;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;PACCHA-NULTI;NULTI;1;1;-2.86798;-78.928433
CENTRO DE SALUD;AZUAY;CUENCA;OCTAVIO CORDERO PALACIOS (STA. ROSA);NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;OCTAVIO CORDERO PALACIOS (STA. ROSA)-SIDCAY;OCTAVIO CORDERO PALACIOS;1;1;-2.787863;-78.962293
CENTRO DE SALUD;AZUAY;CUENCA;PACCHA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;PACCHA-NULTI;PACCHA;1;1;-2.9005;-78.937672
CENTRO DE SALUD;AZUAY;CUENCA;QUINGEO;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;QUINGEO;QUINGEO;1;1;-3.035552;-78.935003
CENTRO DE SALUD;AZUAY;CUENCA;RICAURTE;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;RICAURTE-LLACAO;RICAURTE;1;1;-2.859813;-78.961727
CENTRO DE SALUD;AZUAY;CUENCA;SAN JOAQUIN;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;SAN JOAQUIN;SAN JOAQUIN;1;1;-2.89674;-79.049754
CENTRO DE SALUD;AZUAY;CUENCA;SANTA ANA;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;SANTA ANA;SANTA ANA;1;1;-2.940151;-78.92091
CENTRO DE SALUD;AZUAY;CUENCA;SIDCAY;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;OCTAVIO CORDERO PALACIOS (STA. ROSA)-SIDCAY;SIDCAY;1;1;-2.817358;-78.963924
CENTRO DE SALUD;AZUAY;CUENCA;SININCAY;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;SININCAY;SININCAY;1;1;-2.851532;-79.013906
CENTRO DE SALUD;AZUAY;CUENCA;TARQUI;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;TARQUI;TARQUI;1;1;-3.014571;-79.033809
CENTRO DE SALUD;AZUAY;CUENCA;TURI;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;TURI;TURI;1;1;-2.922809;-79.009789
CENTRO DE SALUD;AZUAY;CUENCA;VALLE;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;VALLE;EL VALLE;1;1;-2.938738;-78.96361
CENTRO DE SALUD;AZUAY;CUENCA;VALLE;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;VALLE;CHILCAPAMBA;1;1;-2.927066;-78.988936
CENTRO DE SALUD;AZUAY;CUENCA;VICTORIA DEL PORTETE (IRQUIS);BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CUMBE-VICTORIA DEL PORTETE (IRQUIS);VICTORIA DEL PORTETE;1;1;-3.05987;-79.063561
CENTRO DE SALUD;AZUAY;EL PAN;EL PAN;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;EL PAN-SAN VICENTE;EL PAN;1;1;-2.788714;-78.667548
CENTRO DE SALUD;AZUAY;EL PAN;SAN VICENTE;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;EL PAN-SAN VICENTE;LA MERCED;1;1;-2.842066;-78.668026
CENTRO DE SALUD;AZUAY;GIRON;ASUNCION;GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL;GIRON-SAN GERARDO-ASUNCION;ASUNCION;1;1;-3.210382;-79.259436
CENTRO DE SALUD;AZUAY;GIRON;SAN GERARDO;GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL;GIRON-SAN GERARDO-ASUNCION;SAN GERARDO;1;1;-3.138352;-79.204007
CENTRO DE SALUD;AZUAY;GUACHAPALA;GUACHAPALA;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;GUACHAPALA;GUACHAPALA;1;1;-2.772862;-78.715342
CENTRO DE SALUD;AZUAY;GUALACEO;DANIEL CORDOVA TORAL (EL ORIENTE);GUALACEO-CHORDELEG;DANIEL CORDOVA TORAL (EL ORIENTE)-REMIGIO CRESPO TORAL (GULAG)-LUIS CORDERO VEGA-MARIANO MORENO;DANIEL CORDOVA;1;1;-2.875772;-78.742455
CENTRO DE SALUD;AZUAY;GUALACEO;JADAN;GUALACEO-CHORDELEG;JADAN;JADAN;1;1;-2.889421;-78.877283
CENTRO DE SALUD;AZUAY;GUALACEO;LUIS CORDERO VEGA;GUALACEO-CHORDELEG;DANIEL CORDOVA TORAL (EL ORIENTE)-REMIGIO CRESPO TORAL (GULAG)-LUIS CORDERO VEGA-MARIANO MORENO;LUIS CORDERO;1;1;-2.896794;-78.753671
CENTRO DE SALUD;AZUAY;GUALACEO;MARIANO MORENO;GUALACEO-CHORDELEG;DANIEL CORDOVA TORAL (EL ORIENTE)-REMIGIO CRESPO TORAL (GULAG)-LUIS CORDERO VEGA-MARIANO MORENO;MARIANO MORENO;1;1;-2.8553;-78.73096
CENTRO DE SALUD;AZUAY;GUALACEO;REMIGIO CRESPO TORAL (GULAG);GUALACEO-CHORDELEG;DANIEL CORDOVA TORAL (EL ORIENTE)-REMIGIO CRESPO TORAL (GULAG)-LUIS CORDERO VEGA-MARIANO MORENO;REMIGIO CRESPO;1;1;-2.914167;-78.756999
CENTRO DE SALUD;AZUAY;GUALACEO;SAN JUAN;GUALACEO-CHORDELEG;SAN JUAN-SIMON BOLIVAR (CAB. EN GANIANZOL);SAN JUAN;1;1;-2.965312;-78.813628
CENTRO DE SALUD;AZUAY;GUALACEO;ZHIDMAD;GUALACEO-CHORDELEG;ZHIDMAD;ZHIDMAD;1;1;-2.929611;-78.897801
CENTRO DE SALUD;AZUAY;NABON;COCHAPATA;NABON-ONIA;NABON-COCHAPATA;COCHAPATA;1;1;-3.390106;-79.086185
CENTRO DE SALUD;AZUAY;NABON;EL PROGRESO (CAB. EN ZHOTA);NABON-ONIA;EL PROGRESO (CAB.EN ZHIOTA)-LAS NIEVES (CHAYA);EL PROGRESO;1;1;-3.341649;-79.204864
CENTRO DE SALUD;AZUAY;NABON;LAS NIEVES (CHAYA);NABON-ONIA;EL PROGRESO (CAB.EN ZHIOTA)-LAS NIEVES (CHAYA);LAS NIEVES;1;1;-3.342356;-79.114286
CENTRO DE SALUD;AZUAY;NABON;NABON;NABON-ONIA;NABON-COCHAPATA;NABON;1;1;-3.338018;-79.06456
CENTRO DE SALUD;AZUAY;NABON;NABON;NABON-ONIA;NABON-COCHAPATA;RANIAS;1;1;-3.271838;-79.049215
CENTRO DE SALUD;AZUAY;NABON;NABON;NABON-ONIA;NABON-COCHAPATA;ZHINIA;1;1;-3.283564;-79.025712
CENTRO DE SALUD;AZUAY;ONIA;SAN FELIPE DE ONIA;NABON-ONIA;SUSUDEL-SAN FELIPE DE ONIA;ONIA;1;1;-3.470283;-79.155043
CENTRO DE SALUD;AZUAY;PAUTE;BULAN (JOSE VICTOR IZQUIERDO);EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;GUARAINAG-TOMEBAMBA-DUG DUG-BULAN (JOSE VICTOR IZQUIERDO);BULAN;1;1;-2.733037;-78.775597
CENTRO DE SALUD;AZUAY;PAUTE;CHICAN (GUILLERMO ORTEGA);EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;SAN CRISTOBAL (CARLOS ORDONIEZ LAZO)-CHICAN (GUILLERMO ORTEGA)-EL CABO-PAUTE;CHICAN;1;1;-2.820328;-78.76059
CENTRO DE SALUD;AZUAY;PAUTE;DUG DUG;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;GUARAINAG-TOMEBAMBA-DUG DUG-BULAN (JOSE VICTOR IZQUIERDO);DUGDUG;1;1;-2.723056;-78.727186
CENTRO DE SALUD;AZUAY;PAUTE;DUG DUG;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;GUARAINAG-TOMEBAMBA-DUG DUG-BULAN (JOSE VICTOR IZQUIERDO);LAZUL;1;1;-2.731485;-78.729283
CENTRO DE SALUD;AZUAY;PAUTE;EL CABO;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;SAN CRISTOBAL (CARLOS ORDONIEZ LAZO)-CHICAN (GUILLERMO ORTEGA)-EL CABO-PAUTE;EL CABO;1;1;-2.854039;-78.7791
CENTRO DE SALUD;AZUAY;PAUTE;GUARAINAG;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;GUARAINAG-TOMEBAMBA-DUG DUG-BULAN (JOSE VICTOR IZQUIERDO);GUARAINAG;1;1;-2.660854;-78.632854
CENTRO DE SALUD;AZUAY;PAUTE;SAN CRISTOBAL (CARLOS ORDONIEZ LAZO);EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;SAN CRISTOBAL (CARLOS ORDONIEZ LAZO)-CHICAN (GUILLERMO ORTEGA)-EL CABO-PAUTE;SAN CRISTOBAL;1;1;-2.827142;-78.840174
CENTRO DE SALUD;AZUAY;PAUTE;TOMEBAMBA;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;GUARAINAG-TOMEBAMBA-DUG DUG-BULAN (JOSE VICTOR IZQUIERDO);TOMEBAMBA;1;1;-2.74124;-78.682401
CENTRO DE SALUD;AZUAY;PUCARA;PUCARA;GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL;PUCARA;CHILCAPLAYA;1;1;-3.317478;-79.575605
CENTRO DE SALUD;AZUAY;PUCARA;PUCARA;GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL;PUCARA;PUCARA;1;1;-3.216252;-79.473325
CENTRO DE SALUD;AZUAY;PUCARA;SAN RAFAEL DE SHARUG;GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL;SAN RAFAEL DE SHARUG;SAN RAFAEL DE ZHARUG;1;1;-3.277498;-79.547226
CENTRO DE SALUD;AZUAY;SAN FERNANDO;SAN FERNANDO;GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL;SAN FERNANDO-CHUMBLIN;SAN FERNANDO;1;1;-3.14793;-79.252461
CENTRO DE SALUD;AZUAY;SANTA ISABEL;ABDON CALDERON (LA UNION);GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL;ABDON CALDERON (LA UNION)-SANTA ISABEL (CHAGUARURCO)-ZHAGLLI (SHAGLLI );ABDON CALDERON (LA UNION);1;1;-3.259342;-79.281603
CENTRO DE SALUD;AZUAY;SANTA ISABEL;ZHAGLLI (SHAGLLI );GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL;ABDON CALDERON (LA UNION)-SANTA ISABEL (CHAGUARURCO)-ZHAGLLI (SHAGLLI );ZHAGLLY;1;1;-3.170908;-79.385977
CENTRO DE SALUD;AZUAY;SEVILLA DE ORO;AMALUZA;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;AMALUZA-PALAMAS;AMALUZA;1;1;-2.613984;-78.561515
CENTRO DE SALUD;AZUAY;SEVILLA DE ORO;PALMAS;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;AMALUZA-PALAMAS;PALMAS;1;1;-2.719501;-78.632445
CENTRO DE SALUD;AZUAY;SEVILLA DE ORO;SEVILLA DE ORO;EL PAN-GUACHAPALA-PAUTE-SEVILLA DE ORO;SEVILLA DE ORO;SEVILLA DE ORO;1;1;-2.80261;-78.655384
CENTRO DE SALUD;AZUAY;SIGSIG;CUCHIL (CUTCHIL);SIGSIG;SAN BARTOLOME-GUEL-SIGSIG-CUCHIL (CUTCHIL);CUTCHIL;1;1;-3.075977;-78.796122
CENTRO DE SALUD;AZUAY;SIGSIG;GIMA;SIGSIG;JIMA (GIMA);JIMA;1;1;-3.191639;-78.957617
CENTRO DE SALUD;AZUAY;SIGSIG;LUDO;SIGSIG;LUDO-SAN JOSE DE RARANGA;LUDO;1;1;-3.083369;-78.892524
CENTRO DE SALUD;AZUAY;SIGSIG;SAN BARTOLOME;SIGSIG;SAN BARTOLOME-GUEL-SIGSIG-CUCHIL (CUTCHIL);SAN BARTOLOME;1;1;-3.011123;-78.850892
CENTRO DE SALUD;AZUAY;SIGSIG;SAN JOSE DE RARANGA;SIGSIG;LUDO-SAN JOSE DE RARANGA;SAN JOSE DE RARANGA;1;1;-3.134171;-78.965888
CENTRO DE SALUD;AZUAY;SIGSIG;SIGSIG;SIGSIG;SAN BARTOLOME-GUEL-SIGSIG-CUCHIL (CUTCHIL);ZHIMBRUG;1;1;-3.020917;-78.798734
